player_id,draft_year,draft_pick
cummite01,1982,2
wilkido01,1982,3
garnebi02,1982,4
thompla01,1982,5
tucketr01,1982,6
dailequ01,1982,7
kellocl01,1982,8
levincl01,1982,9
edmonke01,1982,10
leverfa01,1982,11
baglejo01,1982,12
floydsl01,1982,13
connele01,1982,14
thirdda01,1982,15
teaglte01,1982,16
steppbr01,1982,17
piercri01,1982,18
williro02,1982,19
presspa01,1982,20
philled01,1982,21
mcnamma01,1982,22
tillida01,1982,23
robinol01,1982,24
warribr01,1982,25
fraziri01,1982,26
roberfr01,1982,27
magleda01,1982,28
hastisc01,1982,29
bryanwa01,1982,30
higgiro01,1982,31
anderri01,1982,32
towneli01,1982,33
taylovi01,1982,34
smithde02,1982,35
anderjj01,1982,36
norriau01,1982,37
sapplwa01,1982,38
mageeke01,1982,39
morgagu01,1982,40
anderdw01,1982,41
tayloje01,1982,42
slaugjo01,1982,43
gibsomi01,1982,44
schoeru01,1982,45
guyto01,1982,46
wilsomi01,1982,47
hodgecr01,1982,48
trumbst01,1982,49
thompco01,1982,50
johnsji01,1982,51
caldwda01,1982,52
adamsty01,1982,53
joneshu01,1982,54
eavesje01,1982,55
kopicjo01,1982,56
tuckecr01,1982,57
largemi01,1982,58
blackji01,1982,59
englech01,1982,60
pittmch01,1982,61
bondro01,1982,62
nevitch01,1982,63
reddewi01,1982,64
greigjo01,1982,65
lockeph01,1982,66
hackemi01,1982,67
solomda01,1982,68
mosspe01,1982,69
hannare01,1982,70
clemoda01,1982,71
eatonma01,1982,72
woodsru01,1982,73
sandemi01,1982,74
anchrno01,1982,75
aleksch01,1982,76
jonesje02,1982,77
russewa01,1982,78
smither01,1982,79
griffja01,1982,80
gregodi01,1982,81
brownto01,1982,82
stancke01,1982,83
turneal01,1982,84
gaddyan01,1982,85
whitero01,1982,86
grierto01,1982,87
owenske02,1982,88
beckje01,1982,89
mccorcr01,1982,90
atkinbr01,1982,91
stewagr01,1982,92
whitete02,1982,93
cartega01,1982,94
mckaymi01,1982,95
arnolke01,1982,96
simpske01,1982,97
howaraa01,1982,98
jacksru02,1982,99
dibenri01,1982,100
ebelijo01,1982,101
hallma01,1982,102
rhonech01,1982,103
dickecl02,1982,104
gilesch01,1982,105
irvinal01,1982,106
schneje01,1982,107
mccrama01,1982,108
duffybi01,1982,109
swanncl01,1982,110
campro01,1982,111
davisje01,1982,112
mcneiho01,1982,113
masondo01,1982,114
brownwi02,1982,115
reynovi01,1982,116
marbuer01,1982,117
jacksal02,1982,118
waggowa01,1982,119
wrighpo01,1982,120
kaniemi01,1982,121
fontebb01,1982,122
clarkje01,1982,123
holmega01,1982,124
cunnile01,1982,125
bruchja01,1982,126
williby01,1982,127
danieme02,1982,128
vannda01,1982,129
bethaja01,1982,130
brustch01,1982,131
wilsodo01,1982,132
penaja01,1982,133
pottsbo01,1982,134
carrto02,1982,135
rosely01,1982,136
boyleke01,1982,137
schwejo01,1982,138
reedra01,1982,139
hugheed01,1982,140
gardnth02,1982,141
gradybo01,1982,142
rangepe01,1982,143
seymoph01,1982,144
verdech01,1982,145
leafbr01,1982,146
marqude01,1982,147
wyattho01,1982,148
longte01,1982,149
gibsowe01,1982,150
anderto02,1982,151
waldrma01,1982,152
barloje01,1982,153
helmsmi01,1982,154
wardph01,1982,155
taylode01,1982,156
rayhoal01,1982,157
austibo01,1982,158
willima06,1982,159
hillike01,1982,160
colliph01,1982,161
knighmo01,1982,162
tuzja01,1982,163
campbri01,1982,164
peterke01,1982,165
nealyed01,1982,166
terwida01,1982,167
burnsmi01,1982,168
reesedo01,1982,169
nyenhbr01,1982,170
porteda01,1982,171
ratifja01,1982,172
luckke01,1982,173
jacksot01,1982,174
kingma02,1982,175
callada01,1982,176
elrodri01,1982,177
speerdo01,1982,178
faggich01,1982,179
burksst01,1982,180
leonabr01,1982,181
bluntmi01,1982,182
sealsdo01,1982,183
spriged01,1982,184
hafleto01,1982,185
hegwojo01,1982,186
clariri01,1982,187
mcphera01,1982,188
mooreja03,1982,189
scottme01,1982,190
dillask01,1982,191
scearmi01,1982,192
smithke05,1982,193
