method,horizon,age_bucket,n_total,rmse,mae,bias
538-squared,3,32-35,460,5.0103656466144715,3.9582265611027267,-1.0359474507484954
538-squared,3,<=23,2024,7.260785953205029,5.7520376568820435,-1.4121081947377825
538-squared,4,24-27,2472,6.57198996033736,5.154742058618873,-0.746107283013324
538-squared,4,28-31,1256,6.119622362817635,4.817662259977414,-1.5672068817187166
538-squared,4,32-35,303,5.300006830589266,4.215499354258385,-0.9229132346279488
538-squared,4,<=23,1896,7.817519342945164,6.186340465642778,-1.4677567000564298
538-squared,5,24-27,2171,6.833668175533359,5.363543102913061,-0.9121052997663823
538-squared,5,28-31,969,6.185036049673501,4.89081774367722,-1.7716066053016888
538-squared,5,32-35,137,5.761732359038431,4.54294575380229,-1.498543789865914
538-squared,5,<=23,1752,8.157551079059083,6.397345218890053,-1.6711588597572562
SPS,1,24-27,3274,4.604745832363767,3.583439678056789,-0.24449711813050562
SPS,1,28-31,2245,4.39465285831319,3.3762558249370485,1.1443364140812156
SPS,1,32-35,877,3.9319598383524896,3.024371334346134,1.363637009746019
SPS,1,36+,136,3.84360938362423,3.0061309849648197,1.6801266188133344
SPS,1,<=23,2425,5.157551694238588,4.034622186891387,-1.4581128546617992
SPS,2,24-27,2950,5.639546984599578,4.406120576687463,0.15174864839819133
SPS,2,28-31,1913,5.347507986656595,4.175000013146415,1.72868116477064
SPS,2,32-35,661,4.6239500733973875,3.649106735828686,1.7495461114722344
SPS,2,36+,45,5.261001060462228,4.013426386827928,2.309023015793897
SPS,2,<=23,2180,6.544560379769213,5.173468647384411,-1.7053858256885672
SPS,3,24-27,2711,6.131142535149542,4.799660372987239,0.6218248785548021
SPS,3,28-31,1596,5.90675570602645,4.710263995132625,2.214094003218764
SPS,3,32-35,460,4.918664717552806,3.955364670673802,1.5881032006777727
SPS,3,<=23,2024,7.38220769802945,5.827527416797658,-1.691124959179432
SPS,4,24-27,2472,6.750569967744188,5.334311739392473,1.2521340447277276
SPS,4,28-31,1256,6.142870976807928,4.969881242542591,2.1088790403286053
SPS,4,32-35,303,5.331695541911495,4.285489075293923,1.2333049788843842
SPS,4,<=23,1896,7.870629202334657,6.205818550989967,-1.4387868977226805
SPS,5,24-27,2171,7.090310252533339,5.645484864871651,1.6702759139414742
SPS,5,28-31,969,6.107070984771618,4.991763353708359,1.8655669750921924
SPS,5,32-35,137,5.6714274483879485,4.511825219590776,0.2985339666515982
SPS,5,<=23,1752,8.177315083508738,6.422005589624412,-1.312364042435818
carmelo-linear,1,24-27,3274,4.6650801625449825,3.633063859455242,-0.6427415482888269
carmelo-linear,1,28-31,2245,4.333329009816297,3.342694108854963,-0.5652423980255555
carmelo-linear,1,32-35,877,3.878466028508584,3.0669466986311202,-0.9040349518548615
carmelo-linear,1,36+,136,3.5174557592928086,2.8213447032762033,-0.2226879754884872
carmelo-linear,1,<=23,2425,5.097212587133579,3.989242475316442,-0.9838551234024924
carmelo-linear,2,24-27,2950,5.729832304472463,4.45888988889942,-0.7957208177834938
carmelo-linear,2,28-31,1913,5.255130337567407,4.140877183755794,-0.9884766596329418
carmelo-linear,2,32-35,661,4.470010654199601,3.470094845332463,-0.8691278218953915
carmelo-linear,2,36+,45,4.897336087941836,3.804251100488434,0.7753077093615934
carmelo-linear,2,<=23,2180,6.522458287304905,5.132082612556447,-1.2465714361421556
carmelo-linear,3,24-27,2711,6.214390056908214,4.8545025221453,-0.9274147558527803
carmelo-linear,3,28-31,1596,5.792514711314983,4.508266956894656,-1.2193731315846115
carmelo-linear,3,32-35,460,4.809164878373117,3.7570777196715017,-0.8523011264009597
carmelo-linear,3,<=23,2024,7.378637611883022,5.813456258040687,-1.3347638319663773
carmelo-linear,4,24-27,2472,6.7070859022343114,5.271747463245303,-0.8811448846204403
carmelo-linear,4,28-31,1256,6.077488810903443,4.791070919700033,-1.5217162323578208
carmelo-linear,4,32-35,303,5.72069913263712,4.491840279031844,-0.8082906939712855
carmelo-linear,4,<=23,1896,7.922023421190177,6.2398454104006555,-1.3557308074946013
carmelo-linear,5,24-27,2171,6.988137542870939,5.495451314090461,-0.9955145738799224
carmelo-linear,5,28-31,969,6.26166739629356,4.888088705250498,-1.7423398503347118
carmelo-linear,5,32-35,137,6.075159685030544,4.65542994745245,-0.9780087275804434
carmelo-linear,5,<=23,1752,8.221788226975512,6.437069788953153,-1.4867983396381612
carmelo-squared,1,24-27,3274,4.66687996199101,3.635107537672864,-0.6432109415558551
carmelo-squared,1,28-31,2245,4.3335516080589205,3.3431784106339455,-0.5636285888901198
carmelo-squared,1,32-35,877,3.885668221033327,3.073177787908748,-0.9092900279374554
