player_id,player,snapshot_year,snapshot_age,age_bucket,horizon,actual_fpts,SPS_pred,SPS_error,carmelo-linear_pred,carmelo-linear_error,carmelo-squared_pred,carmelo-squared_error,538-linear_pred,538-linear_error,538-squared_pred,538-squared_error
freewo01,World B. Free,1985,31.0,28-31,3,7.2844827586206895,22.13247486974242,14.84799211112173,22.13247486974242,14.84799211112173,22.13247486974242,14.84799211112173,17.12183135179916,9.837348593178469,18.309523087493133,11.025040328872443
abdulka01,Kareem Abdul-Jabbar,1985,37.0,36+,1,32.822784810126585,28.98225917944469,-3.8405256306818956,28.98225917944469,-3.8405256306818956,28.98225917944469,-3.8405256306818956,28.98225917944469,-3.8405256306818956,28.98225917944469,-3.8405256306818956
abdulka01,Kareem Abdul-Jabbar,1985,37.0,36+,2,26.778846153846153,24.80675382858356,-1.9720923252625937,24.80675382858356,-1.9720923252625937,24.80675382858356,-1.9720923252625937,24.80675382858356,-1.9720923252625937,24.80675382858356,-1.9720923252625937
abdulka01,Kareem Abdul-Jabbar,1985,37.0,36+,3,22.434375,20.955761971485376,-1.4786130285146228,20.955761971485376,-1.4786130285146228,20.955761971485376,-1.4786130285146228,20.955761971485376,-1.4786130285146228,20.955761971485376,-1.4786130285146228
abdulka01,Kareem Abdul-Jabbar,1985,37.0,36+,4,16.763513513513512,17.47654558717037,0.7130320736568585,17.47654558717037,0.7130320736568585,17.47654558717037,0.7130320736568585,17.47654558717037,0.7130320736568585,17.47654558717037,0.7130320736568585
dantlad01,Adrian Dantley,1985,29.0,28-31,1,32.828947368421055,31.913747744188882,-0.9151996242321729,30.404848888032742,-2.424098480388313,30.007674289250975,-2.82127307917008,30.13662589006583,-2.6923214783552254,30.89969734587784,-1.929250022543215
dantlad01,Adrian Dantley,1985,29.0,28-31,2,23.746913580246915,30.536187901376852,6.789274321129938,28.519812865794258,4.772899285547343,28.579698808862318,4.832785228615403,29.79720961084372,6.0502960305968045,30.16401186688717,6.417098286640254
dantlad01,Adrian Dantley,1985,29.0,28-31,3,22.293478260869566,28.860451272086973,6.5669730112174065,30.41272076538536,8.119242504515793,30.426186247181004,8.132707986311438,26.47889995267988,4.185421691810312,26.9694314017379,4.675953140868334
dantlad01,Adrian Dantley,1985,29.0,28-31,5,18.011111111111113,24.841398833280607,6.830287722169494,23.033183389028803,5.02207227791769,22.92255855898205,4.911447447870938,16.10951492106869,-1.9015961900424223,16.10951492106869,-1.9015961900424223
birdsot01,Otis Birdsong,1985,29.0,28-31,1,20.51298701298701,24.44562226910998,3.9326352561229676,24.211010790753363,3.698023777766352,24.284372203068095,3.7713851900810837,21.4823178015006,0.969330788513588,21.379441637400994,0.8664546244139828
birdsot01,Otis Birdsong,1985,29.0,28-31,3,16.27238805970149,22.40608918419348,6.133701124491989,21.335914761204833,5.063526701503342,21.42450816122968,5.15212010152819,15.855183139439053,-0.4172049202624386,16.097190628794372,-0.1751974309071187
mitchmi01,Mike Mitchell,1985,29.0,28-31,1,26.975609756097562,26.621113925135855,-0.35449583096170656,26.361889411925922,-0.6137203441716395,26.221730286135838,-0.7538794699617242,23.760202071873838,-3.215407684223724,22.686479133001402,-4.28913062309616
