method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
SPS,1991,4,32-35,8,6.279244439108039,5.654128639611841,5.408030213895028,3.190943423451401
carmelo-linear,1991,4,32-35,8,5.411150377917557,4.884902691406281,4.236003668564477,3.3670196513156285
carmelo-squared,1991,4,32-35,8,5.285562865412828,4.755405334156543,4.130971129741199,3.2973098625206263
538-linear,1991,4,32-35,8,6.127453227177158,5.593381912421573,5.110721266248335,3.3802679168907286
538-squared,1991,4,32-35,8,6.154958458160118,5.5639255002601455,5.107929435144495,3.434031232714872
SPS,1991,4,<=23,41,8.59834316743293,6.901695058239209,-0.7514932736110844,8.565440040339892
carmelo-linear,1991,4,<=23,41,8.598311947575283,6.918099073994185,-0.8913788443246242,8.551982934016317
carmelo-squared,1991,4,<=23,41,8.604445459039436,6.928157319575083,-0.890637670134478,8.558226813897946
538-linear,1991,4,<=23,41,8.472267186389587,6.755429756041807,-0.5761899380990257,8.452651443943916
538-squared,1991,4,<=23,41,8.402388566780688,6.728958091198304,-0.4923233752616452,8.387952749112134
SPS,1991,5,24-27,64,6.46621145621296,5.038928175226656,1.550338685844355,6.277606275933059
carmelo-linear,1991,5,24-27,64,6.547231356236182,5.047166118160306,-1.093182527411715,6.455322640569099
carmelo-squared,1991,5,24-27,64,6.556234885070391,5.059462674112581,-1.054481662090803,6.4708797155045445
538-linear,1991,5,24-27,64,5.538272346200014,4.347706276724474,-1.261942835255726,5.392583876142359
538-squared,1991,5,24-27,64,5.376744653494413,4.196580493261039,-1.1218592105012113,5.258404223782568
SPS,1991,5,28-31,29,5.8596697852928665,4.781903766438935,2.304874407945803,5.387326234438624
carmelo-linear,1991,5,28-31,29,6.7551624841406275,4.682306360092476,-2.0990166287474645,6.420774827026921
carmelo-squared,1991,5,28-31,29,6.760925370345523,4.676791042597362,-2.0946367119143052,6.428266399931054
538-linear,1991,5,28-31,29,6.985169957711533,5.597744232106414,-2.7258967341795515,6.431336278931852
538-squared,1991,5,28-31,29,7.457411958405599,5.819423313587093,-2.973435690327652,6.838981891543253
SPS,1991,5,<=23,34,8.745474178103407,6.588290276478496,-0.6776632584480184,8.719179497408176
carmelo-linear,1991,5,<=23,34,8.843049873382302,6.702785902053022,-1.028404969969932,8.783046981592886
carmelo-squared,1991,5,<=23,34,8.851073411740199,6.721022846651965,-1.0236136236537878,8.791684462575112
538-linear,1991,5,<=23,34,8.590879649749494,6.551102455006769,-0.6629220568087061,8.565264006618623
538-squared,1991,5,<=23,34,8.572917718782227,6.556468048747135,-0.5898330915785126,8.552602828209036
SPS,1992,1,24-27,97,4.3171961800201855,3.225732555569041,-0.19369398540801636,4.3128488840669625
carmelo-linear,1992,1,24-27,97,4.348288449754022,3.320230910021296,-0.6551317250708949,4.298652680209214
carmelo-squared,1992,1,24-27,97,4.346623683523701,3.325017679838762,-0.6521053726473427,4.297429002221399
538-linear,1992,1,24-27,97,4.440420280536834,3.404509948506505,-0.8885315968903076,4.35061419447075
538-squared,1992,1,24-27,97,4.484618810451255,3.4534073700855337,-0.8707002579796788,4.399282547848837
SPS,1992,1,28-31,66,5.089320542744304,3.806662644024533,2.403508749831412,4.486014854665888
carmelo-linear,1992,1,28-31,66,4.6143694136254405,3.410873140911748,0.5498403554244068,4.58149327937396
carmelo-squared,1992,1,28-31,66,4.608663801188579,3.4077581855239902,0.542456600432914,4.576627892786645
538-linear,1992,1,28-31,66,4.266785329057268,3.1248553224086293,0.4916518877470223,4.238364715964534
538-squared,1992,1,28-31,66,4.27837156073917,3.1200762579434995,0.4569741502574367,4.253896782685049
SPS,1992,1,32-35,25,5.089248383404704,4.293244713694123,3.306585217155111,3.868713392030829
carmelo-linear,1992,1,32-35,25,4.345378433036351,3.4155717044323293,0.24201163038296009,4.338633897560018
carmelo-squared,1992,1,32-35,25,4.356674428385505,3.4263739171202157,0.241087227482501,4.34999873835533
538-linear,1992,1,32-35,25,4.998650156925606,4.074888815278054,2.822579617796186,4.125475450482518
538-squared,1992,1,32-35,25,5.033707481291305,4.098124214066132,2.7421552677894327,4.221231513971097
SPS,1992,1,<=23,53,5.430849095714969,3.9183850625913434,-1.1800069548748442,5.301104176195285
carmelo-linear,1992,1,<=23,53,5.371169509563915,3.8560779845641,-0.8111808126014134,5.309561901865009
carmelo-squared,1992,1,<=23,53,5.374695701715011,3.8590720475306886,-0.8082660259042148,5.313573177947475
538-linear,1992,1,<=23,53,5.3629612867006395,3.850558510478188,-0.8245549084712204,5.299194558191442
538-squared,1992,1,<=23,53,5.360506965765001,3.8483385418843605,-0.7846639836913434,5.302766953460498
SPS,1992,2,24-27,80,5.267726567822789,4.178117778640617,1.398923352288516,5.078578211248491
carmelo-linear,1992,2,24-27,80,5.161523448772409,3.9911541317624843,0.2745985897721863,5.15421380296962
carmelo-squared,1992,2,24-27,80,5.18743929602452,4.013888655166995,0.26779429476006145,5.180522431727647
538-linear,1992,2,24-27,80,4.991071419810899,3.9306096839318103,0.1977669424666871,4.987151707550168
538-squared,1992,2,24-27,80,5.025123228726769,3.9569648671959556,0.2876874946467658,5.016881438634285
SPS,1992,2,28-31,57,5.78180536927358,4.639097480897586,3.0040405087396014,4.9401431102764946
carmelo-linear,1992,2,28-31,57,5.031135803473715,4.1530190673306535,0.06907768007041294,5.030661561575296
carmelo-squared,1992,2,28-31,57,5.029335362398929,4.15388051839951,0.05962879530522995,5.028981864577244
538-linear,1992,2,28-31,57,4.717674834994301,3.919653681460342,0.04291986011439335,4.717479595541063
538-squared,1992,2,28-31,57,4.774858045531934,3.9956247876758533,0.11597140642520683,4.773449485212219
SPS,1992,2,32-35,13,5.12515752529371,3.944538889104847,3.467849425099091,3.7737594019643925
carmelo-linear,1992,2,32-35,13,3.557114125372177,3.05869880171087,0.6315864095111066,3.5005941650301495
carmelo-squared,1992,2,32-35,13,3.5801520768091346,3.087987587529845,0.6113239939313857,3.5275730846468
538-linear,1992,2,32-35,13,5.153884474493086,4.032792266805225,3.3247104357997106,3.9381246418194267
538-squared,1992,2,32-35,13,5.182617792824814,4.07714547519169,3.2431547213395295,4.042458984325935
SPS,1992,2,<=23,47,6.991577258357127,5.695749976289592,-0.6187866137561526,6.964140699771419
carmelo-linear,1992,2,<=23,47,6.984197896753738,5.631157441936103,-0.324598811257445,6.97665076327815
carmelo-squared,1992,2,<=23,47,6.981252194406152,5.635262511985744,-0.33025553052942563,6.973436275356322
538-linear,1992,2,<=23,47,6.862938621953731,5.565886859832055,-0.31055875847709025,6.8559083851986635
538-squared,1992,2,<=23,47,6.8274271478137605,5.527653411317107,-0.23197473361801693,6.823485119912491
SPS,1992,3,24-27,85,6.672559158870692,5.089760037779738,1.9238002650064452,6.389212648596875
carmelo-linear,1992,3,24-27,85,6.779353701460211,4.901002746173822,0.3180097167363122,6.77189090502524
carmelo-squared,1992,3,24-27,85,6.78147075743055,4.907414830812633,0.3103334845661995,6.77436629968019
538-linear,1992,3,24-27,85,5.96227251814457,4.486926553762502,0.30073822808755113,5.9546830393219725
538-squared,1992,3,24-27,85,5.948537002391572,4.479836860983007,0.4280753750067721,5.933114185833148
SPS,1992,3,28-31,53,6.504084509792473,5.281833699887199,3.917736415956685,5.191768165626164
carmelo-linear,1992,3,28-31,53,5.206604825266199,4.027299763580852,-0.02338834213303145,5.206552294171023
carmelo-squared,1992,3,28-31,53,5.192692054920304,4.0186633522217345,-0.038894078376763126,5.192546391501925
538-linear,1992,3,28-31,53,4.945072149440962,3.9621430581522894,0.4764286139511822,4.9220680957281795
538-squared,1992,3,28-31,53,4.916140687426908,3.9437847989752988,0.5408470490226179,4.886299594594854
SPS,1992,3,32-35,9,5.531121686188186,4.613611985493952,4.4792849989516395,3.244890291764584
carmelo-linear,1992,3,32-35,9,3.385641781414558,2.7707477222650456,1.861072567375375,2.8282466602159673
carmelo-squared,1992,3,32-35,9,3.2912350579729677,2.716453919616423,1.7966518787991745,2.757584129856734
538-linear,1992,3,32-35,9,5.326515823112463,4.397089421813419,4.262762435271106,3.193842080364804
538-squared,1992,3,32-35,9,5.301827495611551,4.364358604352398,4.230031617810084,3.1962802295089285
SPS,1992,3,<=23,44,8.592323565408247,6.624217064432428,0.22958038388459626,8.589255910729712
carmelo-linear,1992,3,<=23,44,8.682731504478268,6.694239363562113,0.4934579098870774,8.66869803776953
carmelo-squared,1992,3,<=23,44,8.683156738284158,6.695731952108048,0.4832915500215184,8.669696662472532
538-linear,1992,3,<=23,44,8.440552537685514,6.549902332113141,0.5114389763685971,8.425043460711665
538-squared,1992,3,<=23,44,8.438571010028035,6.5620887700941095,0.5990600753253361,8.41728030407903
SPS,1992,4,24-27,68,6.856741231029903,5.409287116134592,1.8589565205227547,6.599937951534954
carmelo-linear,1992,4,24-27,68,6.495109163506954,5.292762964440924,-0.1509713782610894,6.493354348009813
carmelo-squared,1992,4,24-27,68,6.489943924497201,5.295631657742385,-0.14068744258492802,6.488418851046612
538-linear,1992,4,24-27,68,6.250358675236605,5.131524752424168,-0.10334361436603466,6.249504273658451
538-squared,1992,4,24-27,68,6.286958958926228,5.1187493275934415,0.0005719129153410427,6.286958932913303
SPS,1992,4,28-31,44,5.602960068336497,4.708508957508689,2.351966273027742,5.0854120951908435
carmelo-linear,1992,4,28-31,44,5.60085031631292,4.325920523207506,-1.9894857477426107,5.235596501380867
carmelo-squared,1992,4,28-31,44,5.565469769416502,4.30495185045489,-2.0139515487981954,5.188299616770635
538-linear,1992,4,28-31,44,6.261087554793632,4.621392446817532,-2.702905004917523,5.647612053176413
538-squared,1992,4,28-31,44,6.300772257278827,4.668512692360706,-2.858037416677734,5.615278547228498
SPS,1992,4,32-35,5,4.884382431404727,4.828619946423023,4.828619946423023,0.7359491485292046
carmelo-linear,1992,4,32-35,5,3.980144623162823,3.855800843715407,3.855800843715407,0.9870922322131204
carmelo-squared,1992,4,32-35,5,3.9609310952108454,3.834199672907348,3.834199672907348,0.9939255552028904
538-linear,1992,4,32-35,5,4.311529257973944,3.849091164896855,3.7530196591824465,2.1222930947810723
538-squared,1992,4,32-35,5,4.389092587868415,4.171564891075992,3.4305459330033097,2.73778895213563
SPS,1992,4,<=23,32,9.580826336752187,7.4959608554446175,-0.8194347942306247,9.545719454970827
carmelo-linear,1992,4,<=23,32,9.67759497039067,7.371612134528141,-0.7515279696591264,9.648370335022946
carmelo-squared,1992,4,<=23,32,9.708525866131458,7.386279443392949,-0.7734204020815117,9.677669935216207
538-linear,1992,4,<=23,32,9.26151536333958,7.423130861507218,-0.7454987630135277,9.231462420425075
538-squared,1992,4,<=23,32,9.221507948599184,7.426926596101666,-0.6405448503986613,9.199234269258811
SPS,1992,5,24-27,64,7.598349229876563,5.727977674073632,2.1834531494192233,7.277873546816887
carmelo-linear,1992,5,24-27,64,6.913519096567037,5.3614565627948805,-0.5666721838360294,6.890256086290524
carmelo-squared,1992,5,24-27,64,6.899994732416148,5.346495856372034,-0.5578638078623308,6.877406144706588
538-linear,1992,5,24-27,64,6.785056840392871,5.214389765840551,-0.6361591086248004,6.755168237422055
538-squared,1992,5,24-27,64,6.726119818824325,5.263501922731077,-0.5585433820457777,6.702888713648337
SPS,1992,5,28-31,40,5.692358992424415,5.0510573921539965,1.2081412376770235,5.56267432521978
carmelo-linear,1992,5,28-31,40,6.680334929691239,5.289043009563674,-3.787558529667784,5.502842461600518
carmelo-squared,1992,5,28-31,40,6.676123417862789,5.287347870531257,-3.7889869843663178,5.496744629582
538-linear,1992,5,28-31,40,6.1362304229317655,4.9538673294058455,-3.6004974802684897,4.968877307591082
538-squared,1992,5,28-31,40,5.885970333238483,4.835723645171623,-3.5431738372074313,4.700060204198698
SPS,1992,5,<=23,33,9.771265680735679,7.88636653229419,-0.3117167759238136,9.766292318742593
carmelo-linear,1992,5,<=23,33,9.92908220425641,7.987996943425388,-0.5605482568755303,9.913246646310943
carmelo-squared,1992,5,<=23,33,9.948051618673482,8.002460191225168,-0.5807169783881055,9.93108749326094
538-linear,1992,5,<=23,33,9.404024498675009,7.728827850288571,-0.6998004390000251,9.377950528620586
538-squared,1992,5,<=23,33,9.390417592984429,7.796256720951738,-0.6293944039062301,9.369301214869923
SPS,1993,1,24-27,92,4.49383773132449,3.6329035824387588,1.0385060763212264,4.372194264316206
carmelo-linear,1993,1,24-27,92,4.345279154560754,3.460743494274231,0.5530123236822845,4.30994527818112
carmelo-squared,1993,1,24-27,92,4.34520550191413,3.4576482539754085,0.5533033569300304,4.309833668376864
538-linear,1993,1,24-27,92,4.3970518370384255,3.5037829128186986,0.5638286000579484,4.360752477194697
538-squared,1993,1,24-27,92,4.445825217686717,3.542636430835711,0.6197681067489086,4.402414037783817
SPS,1993,1,28-31,65,4.494688438357239,3.6228725285664214,2.105462596346824,3.97105167597788
carmelo-linear,1993,1,28-31,65,4.5016048722462045,3.3665071336412553,-0.041689095077365276,4.501411827991569
carmelo-squared,1993,1,28-31,65,4.486372840265381,3.363245129979847,-0.02343246606464608,4.48631164559541
538-linear,1993,1,28-31,65,3.77179548535556,3.040275856870406,-0.25783139268244365,3.76297278176391
538-squared,1993,1,28-31,65,3.7533967561628128,3.054034311538487,-0.26509526588899845,3.7440234653613973
SPS,1993,1,32-35,19,3.9790389399255686,3.3615060270593715,2.6601224085812865,2.959138330123768
carmelo-linear,1993,1,32-35,19,2.9116591790154307,2.3167140749600628,0.49513971258247946,2.8692500483172516
carmelo-squared,1993,1,32-35,19,2.9066442709303977,2.3157401597982776,0.48790689781085783,2.8654018525856166
538-linear,1993,1,32-35,19,4.013169118685843,3.318369498670443,2.254347254671596,3.3201573502664514
538-squared,1993,1,32-35,19,4.031488450135657,3.2981851908404867,2.218921553824736,3.36590051272304
SPS,1993,1,<=23,59,5.390355488935337,4.247921217072676,-0.7528824178855591,5.337518183756765
carmelo-linear,1993,1,<=23,59,5.399334120171253,4.275728874712285,-0.5785048981192775,5.36825307004965
carmelo-squared,1993,1,<=23,59,5.402583592580224,4.280417408789349,-0.5840336522778989,5.370923027546008
538-linear,1993,1,<=23,59,5.323357552972289,4.2169120793814505,-0.4855108929681307,5.3011710790726605
538-squared,1993,1,<=23,59,5.298907448870219,4.196843193217106,-0.4345348017054305,5.281060467159897
SPS,1993,2,24-27,95,6.2591751334383146,4.541749148981388,1.2535274228013167,6.132368412884016
carmelo-linear,1993,2,24-27,95,6.1609769998939,4.574374111085715,0.4796224337899968,6.142279700097269
carmelo-squared,1993,2,24-27,95,6.16732513125624,4.58428538592893,0.47879588484144814,6.1487115540805535
538-linear,1993,2,24-27,95,6.061598671385687,4.496174590975167,0.41437559937457624,6.047418566263432
538-squared,1993,2,24-27,95,6.082815254679666,4.51622718104304,0.5209814887193633,6.060463654785449
SPS,1993,2,28-31,65,5.63048505954809,4.530125234266102,3.2559051608762495,4.593630763260546
carmelo-linear,1993,2,28-31,65,5.418639850623203,4.170227626121448,0.06694496476376045,5.418226296718754
carmelo-squared,1993,2,28-31,65,5.413277715533257,4.1763771953655615,0.06085159163205324,5.412935683091459
538-linear,1993,2,28-31,65,4.933750134761067,3.5830335318645092,-0.1391109749482072,4.931788573013224
538-squared,1993,2,28-31,65,4.890990214944052,3.560649966461358,-0.1715721674778163,4.887979978889586
SPS,1993,2,32-35,15,4.38730971663553,3.9687750855309476,2.8004863327085285,3.3772418998344302
carmelo-linear,1993,2,32-35,15,4.012430096676984,3.328897286800462,0.3327336453530073,3.998610208806226
carmelo-squared,1993,2,32-35,15,4.027478525810647,3.3390789620127235,0.3791097337875442,4.009595875598118
538-linear,1993,2,32-35,15,4.6150499416550215,4.02615048626719,0.7697940712945992,4.550395922529128
538-squared,1993,2,32-35,15,4.425064927845597,3.8725097181048844,0.7917770294658018,4.3536523461640195
SPS,1993,2,<=23,43,5.499041914575251,4.252838527534133,0.49799243403190896,5.476446431209058
carmelo-linear,1993,2,<=23,43,5.486720998182937,4.266579235624731,0.855617964045439,5.419596406698962
carmelo-squared,1993,2,<=23,43,5.501781135655514,4.283180676368355,0.8625667984952349,5.433744029928955
538-linear,1993,2,<=23,43,5.275721912920342,4.105181583264359,0.7389798807759913,5.223710409113064
538-squared,1993,2,<=23,43,5.195144920233117,4.054447358299715,0.7914516219356847,5.134504364820359
SPS,1993,3,24-27,78,6.785124039599805,5.309148926025733,1.3460648564802367,6.650264478568053
carmelo-linear,1993,3,24-27,78,6.734207447954773,5.369023277234695,-0.15643748653699213,6.73239015988345
carmelo-squared,1993,3,24-27,78,6.727214732871439,5.362741117941825,-0.15916093686649146,6.72533165415196
538-linear,1993,3,24-27,78,6.622784807393704,5.334393853723881,-0.27392911095514033,6.6171173064421485
538-squared,1993,3,24-27,78,6.659620926018517,5.350044354149946,-0.17348289753870866,6.657360930768687
SPS,1993,3,28-31,50,5.956434338368998,4.886201112831637,2.1893835355422127,5.539468364527232
carmelo-linear,1993,3,28-31,50,6.5752761521414795,5.163625504265075,-2.2563392937696616,6.176017282060623
carmelo-squared,1993,3,28-31,50,6.581233643645332,5.175529308028445,-2.2425631537924153,6.187369939926157
538-linear,1993,3,28-31,50,5.583457414121964,4.472719892649874,-1.9491302989912596,5.232197222283175
538-squared,1993,3,28-31,50,5.461659839053668,4.410327758193486,-1.995724088320853,5.083976156595115
SPS,1993,3,32-35,10,4.725902438047161,4.3159980560894216,3.7425781616259584,2.8856996652563414
carmelo-linear,1993,3,32-35,10,4.08652398134626,3.4799122330825534,1.6856592082530901,3.722664540856408
carmelo-squared,1993,3,32-35,10,4.087513859245183,3.4733561297677573,1.6365938934253315,3.745574719255293
538-linear,1993,3,32-35,10,4.20120011586747,3.5428166787202535,2.103974750300921,3.6363955592950865
538-squared,1993,3,32-35,10,4.158475578422717,3.430047911603591,1.9563082596744885,3.6695745161350146
SPS,1993,3,<=23,38,8.21515103496055,6.710790829629793,-1.1004310463160936,8.141115282288851
carmelo-linear,1993,3,<=23,38,8.157466383445797,6.6699331102948705,-0.8683207373045322,8.111120569577004
carmelo-squared,1993,3,<=23,38,8.159806109131887,6.682739081556146,-0.8555295668331242,8.11483240115903
538-linear,1993,3,<=23,38,7.890087556108878,6.480051659289286,-0.8101416515655145,7.8483853210366075
538-squared,1993,3,<=23,38,7.802406173351215,6.442015854727311,-0.7054045945727836,7.770453426403427
SPS,1993,4,24-27,78,7.576840995059126,5.849976738948071,1.8375253409764047,7.35064759634674
carmelo-linear,1993,4,24-27,78,7.514466093740374,5.845349826412224,-0.17262894206474005,7.512482939903114
carmelo-squared,1993,4,24-27,78,7.519519028115075,5.841755588611536,-0.17954906759093042,7.5173751101373085
538-linear,1993,4,24-27,78,7.08071145507998,5.495000315182617,-0.46746705276665607,7.065263566540069
538-squared,1993,4,24-27,78,7.0249907538232925,5.475857830933233,-0.410655193148672,7.0129777843397445
SPS,1993,4,28-31,45,5.895955251559027,4.924941198028498,1.561877693717908,5.685316736845264
carmelo-linear,1993,4,28-31,45,6.004228986839293,4.5574696909317,-1.996670427469476,5.662514717903175
carmelo-squared,1993,4,28-31,45,6.014821171280896,4.5565052991719215,-1.9919896446439045,5.675389940622614
538-linear,1993,4,28-31,45,6.341940520171454,4.929605034222698,-3.0716380815178677,5.548445643381738
538-squared,1993,4,28-31,45,6.307273538908628,4.888078627200773,-3.0940389348820783,5.496237127712991
SPS,1993,4,32-35,8,2.9389231499784554,2.5396207828045703,0.9306499767951121,2.7876800214821187
carmelo-linear,1993,4,32-35,8,3.8204708555198144,2.9146276989259974,-0.5487743290297188,3.780852323706162
carmelo-squared,1993,4,32-35,8,3.756778155506323,2.7952701795346586,-0.5339912602610587,3.718633545222532
538-linear,1993,4,32-35,8,3.3855642440725475,2.9199955401161075,-0.6570089124924446,3.321202273220951
538-squared,1993,4,32-35,8,3.4483491934389794,2.993295764549858,-0.7303091369261953,3.3701277014993622
SPS,1993,4,<=23,36,7.495693212181833,5.7761387427718525,-0.2164851456908064,7.492566376939482
carmelo-linear,1993,4,<=23,36,7.3624658678971135,5.654424347370023,-0.005383051729755161,7.3624638999932674
carmelo-squared,1993,4,<=23,36,7.363237842147799,5.651515548796456,0.017026111909905897,7.36321815727
538-linear,1993,4,<=23,36,7.1733953157469115,5.5584452233506765,-0.1793587170027439,7.171152683259147
538-squared,1993,4,<=23,36,7.249714016526387,5.5708537316818045,-0.19609085173497337,7.247061590692121
SPS,1993,5,24-27,73,8.159550615748799,6.2786728155469484,3.2290448628724775,7.493432826450336
carmelo-linear,1993,5,24-27,73,7.786604998460135,6.126093159557657,0.3248368606604214,7.779826374412263
carmelo-squared,1993,5,24-27,73,7.771232802988335,6.117694495186002,0.3261013579704306,7.764387753234107
538-linear,1993,5,24-27,73,7.286407565843056,5.8657977934101595,0.4007228915677601,7.275380153624174
538-squared,1993,5,24-27,73,7.282999120545815,5.86568481802457,0.49650366528569445,7.266055346625774
SPS,1993,5,28-31,36,5.655578782807572,4.743871458767555,1.1957340290940883,5.527729325881432
carmelo-linear,1993,5,28-31,36,6.124064869072428,4.923851968658058,-2.5134511466555107,5.584508380688778
carmelo-squared,1993,5,28-31,36,6.142828931272679,4.950299233184439,-2.5194445017113702,5.602387587598434
538-linear,1993,5,28-31,36,6.282929158448912,5.0263186701494424,-3.471566877529376,5.236737746434174
538-squared,1993,5,28-31,36,6.184666560759972,4.862449158090354,-3.4613076110234138,5.125373165892799
SPS,1993,5,32-35,8,3.9065182494849755,3.1107662074293314,2.2837618517474185,3.169434750560794
carmelo-linear,1993,5,32-35,8,4.810393770962969,3.7634751520954666,2.1472336640592413,4.3045645335678335
carmelo-squared,1993,5,32-35,8,4.7246629137949485,3.69515218740458,2.0665278170054204,4.248753044192165
538-linear,1993,5,32-35,8,3.6510037872181944,2.757735678230979,1.9307313225490659,3.098726385857508
538-squared,1993,5,32-35,8,3.6510037872181944,2.757735678230979,1.9307313225490659,3.098726385857508
SPS,1993,5,<=23,32,8.318436300230445,6.8309334436823805,1.614206624473012,8.160313686035545
carmelo-linear,1993,5,<=23,32,8.48746339700569,6.954195914561643,1.5212460020924667,8.350020689592874
carmelo-squared,1993,5,<=23,32,8.493101069425972,6.964043405659137,1.525168133745262,8.355036082465029
538-linear,1993,5,<=23,32,8.030473089940026,6.613987022998655,1.419551941834404,7.9040097629421675
538-squared,1993,5,<=23,32,7.935934525862664,6.493519761956662,1.5057909689538123,7.791768114914367
SPS,1994,1,24-27,99,4.6411659099116065,3.5362632197992276,0.09540566734131403,4.640185207722294
carmelo-linear,1994,1,24-27,99,4.674684849636946,3.6081261357292256,-0.15082234382392704,4.672251177326476
carmelo-squared,1994,1,24-27,99,4.677334963900181,3.612435781739724,-0.15098714520365752,4.674897351440602
538-linear,1994,1,24-27,99,4.641479594779992,3.6000392644431036,-0.2983614574217158,4.63188010094003
538-squared,1994,1,24-27,99,4.6361263859610595,3.6082916385649253,-0.26952130051684053,4.628285442274716
SPS,1994,1,28-31,78,4.962786779245078,3.645721293635264,2.538681990887244,4.264310772609627
carmelo-linear,1994,1,28-31,78,4.296444661671154,3.209545871949055,0.8128454163984418,4.218852813247055
carmelo-squared,1994,1,28-31,78,4.304614065732543,3.206732582673586,0.8144195750666864,4.226869173590621
538-linear,1994,1,28-31,78,4.1264970925715785,3.0434331979983744,0.5882184122305336,4.084357642826431
538-squared,1994,1,28-31,78,4.085940704725089,3.0372662086167965,0.5865587769700928,4.04361969572915
SPS,1994,1,32-35,21,2.8683615898940737,2.179901605050851,1.1829203717326984,2.613082012589623
carmelo-linear,1994,1,32-35,21,3.0237982609754246,2.5155365418339835,-1.2045397124295643,2.7735248338996543
carmelo-squared,1994,1,32-35,21,3.0081307268894895,2.490072084504768,-1.1810270040336772,2.7665909863584686
538-linear,1994,1,32-35,21,3.1692800408014365,2.4160106207120498,0.5017608979300479,3.1293085463614463
538-squared,1994,1,32-35,21,3.0612146229450694,2.311713788457971,0.675741573984752,2.9857006368558343
SPS,1994,1,<=23,49,4.8837943844761265,3.948434483755033,-0.7213599543963438,4.830226434240308
carmelo-linear,1994,1,<=23,49,4.893895553866803,3.9995455592001923,-0.6039366399408892,4.856487848959798
carmelo-squared,1994,1,<=23,49,4.897531869206716,4.005486418333456,-0.6083220426821477,4.859605200248519
538-linear,1994,1,<=23,49,4.904069212796921,4.079419892435667,-0.44157259350743205,4.884148696402039
538-squared,1994,1,<=23,49,4.917521127234582,4.099281910044185,-0.40756766510551146,4.900602272696584
SPS,1994,2,24-27,82,6.02324301976112,4.6666095669526735,-0.47490008515436993,6.004492183708913
carmelo-linear,1994,2,24-27,82,6.222379771500629,4.8165290957389155,-1.1762693954828234,6.110188240147
carmelo-squared,1994,2,24-27,82,6.2339097497101985,4.820206302575211,-1.176131024291637,6.121956107424372
538-linear,1994,2,24-27,82,6.0121968532573264,4.748141410293498,-1.2062617138558571,5.889944284965931
538-squared,1994,2,24-27,82,6.032453151810546,4.788962741085699,-1.113687026923614,5.928759755197627
SPS,1994,2,28-31,58,5.723596433559833,4.538974839610201,2.1608835116192724,5.300013073896214
carmelo-linear,1994,2,28-31,58,5.349375488748932,4.312471586276049,-0.7822456109504846,5.291872062302392
carmelo-squared,1994,2,28-31,58,5.34724177620413,4.313179653130283,-0.7742044184788222,5.29089804585106
538-linear,1994,2,28-31,58,5.716555668037329,4.3716709313651325,-1.2320595826125667,5.58220725973716
538-squared,1994,2,28-31,58,5.653081865763315,4.318239693336562,-1.273992666464337,5.5076562407994505
SPS,1994,2,32-35,17,3.6892421850177137,2.860125182367977,1.042958847479486,3.538749036337352
carmelo-linear,1994,2,32-35,17,4.62530264536978,3.5384686006513775,-2.1885046201986023,4.074784913174444
carmelo-squared,1994,2,32-35,17,4.5892709831790635,3.524299029462941,-2.163474915501154,4.0473181796155595
538-linear,1994,2,32-35,17,5.511137000684436,4.2567126317250255,-2.7356504000284385,4.784229084098846
538-squared,1994,2,32-35,17,5.505518997558816,4.280756122677952,-2.8125154543230115,4.7329162523411785
SPS,1994,2,<=23,41,7.082329477189034,5.572243939877551,-0.9995004256884576,7.011447049112564
carmelo-linear,1994,2,<=23,41,7.008930036422576,5.54669829396411,-0.8666996584271606,6.955137091211705
carmelo-squared,1994,2,<=23,41,7.010337426752673,5.542356418393913,-0.8746282125787949,6.95556297697681
538-linear,1994,2,<=23,41,7.005395022464018,5.548580062736106,-0.73086010716973,6.967166061212514
538-squared,1994,2,<=23,41,7.0383818182442655,5.569990090471197,-0.6644835382394783,7.006945143698514
SPS,1994,3,24-27,81,6.812875133946371,4.916170997911435,0.5399669907432632,6.79144338411596
carmelo-linear,1994,3,24-27,81,7.052994825875217,5.145432446707243,-0.7317071512098212,7.014936967549388
carmelo-squared,1994,3,24-27,81,7.078283510132177,5.161969309893268,-0.7189441346095268,7.04167712843465
538-linear,1994,3,24-27,81,6.6525083449807205,4.817460254224792,-0.8069832576163215,6.60338135366761
538-squared,1994,3,24-27,81,6.683663771270714,4.882179864934371,-0.6924152271639618,6.647700546849877
SPS,1994,3,28-31,59,5.659337011770888,4.580131558557821,1.6140738914757957,5.42428436622344
carmelo-linear,1994,3,28-31,59,6.034029330757033,4.880775396112838,-2.3172995364957605,5.571322358524294
carmelo-squared,1994,3,28-31,59,6.029887241281155,4.880491954405716,-2.297450085049356,5.575057241793304
538-linear,1994,3,28-31,59,5.921196035236501,4.769321581048502,-2.4892168892006548,5.372556353005399
538-squared,1994,3,28-31,59,5.899746835505794,4.762892955335226,-2.502922324542415,5.342508077707307
SPS,1994,3,32-35,13,4.714482244979828,3.6846439192505427,1.6877021805233434,4.4020454550227885
carmelo-linear,1994,3,32-35,13,4.489579260890761,3.7269117968480563,-1.4827562708785385,4.237659233703296
carmelo-squared,1994,3,32-35,13,4.425623307980302,3.6510250654073184,-1.385466733840693,4.203168280423626
538-linear,1994,3,32-35,13,6.708213269039322,5.714016099923835,-3.511204346791073,5.715904941301132
