method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
SPS,2013,5,<=23,50,8.39286669623575,6.7497271264188035,-2.7169478930749404,7.940932283246019
carmelo-linear,2013,5,<=23,50,8.541457400273279,6.882813792091477,-2.7253029058896363,8.095011957485465
carmelo-squared,2013,5,<=23,50,8.536720701664386,6.882281963242726,-2.732644983977023,8.087536814739734
538-linear,2013,5,<=23,50,8.467804891674344,6.833131983309869,-2.898733949731137,7.956196401053714
538-squared,2013,5,<=23,50,8.441664843699103,6.753960455230604,-2.816919432213806,7.957805617490392
SPS,2014,1,24-27,94,4.561030801817699,3.5291060137758596,0.2173751562699159,4.5558478921674315
carmelo-linear,2014,1,24-27,94,4.590283468672899,3.5627778421377956,-0.08843385726476902,4.589431530773825
carmelo-squared,2014,1,24-27,94,4.598914769588287,3.563838393382948,-0.08532384910036268,4.59812319307693
538-linear,2014,1,24-27,94,4.49263352480643,3.4940406994287283,-0.14664221292806914,4.490239642781018
538-squared,2014,1,24-27,94,4.474272732321876,3.4832393133977733,-0.14359919101501142,4.471967772193679
SPS,2014,1,28-31,63,4.013407337303278,2.851710111683309,1.2924816410052056,3.7995959867838955
carmelo-linear,2014,1,28-31,63,3.8145716523493025,2.875897240522063,-0.15553454989590776,3.8113994666914106
carmelo-squared,2014,1,28-31,63,3.818367211684203,2.878340076357545,-0.16368308794150258,3.8148572725577727
538-linear,2014,1,28-31,63,3.770749464903156,2.8796602058759064,-0.3899602105289703,3.750530970578917
538-squared,2014,1,28-31,63,3.730082766089377,2.8552224855214106,-0.3535249916549975,3.713292006044275
SPS,2014,1,32-35,30,3.3923093532331574,2.494104233839789,0.28963271978134114,3.379922430421329
carmelo-linear,2014,1,32-35,30,3.7388159748754224,3.0548449616508067,-1.6692743768595066,3.345484710582902
carmelo-squared,2014,1,32-35,30,3.741367746440336,3.0640332110362616,-1.6729874300130576,3.346482582223064
538-linear,2014,1,32-35,30,3.831344332499208,3.1223167164981973,-1.8448857589682182,3.35791541443945
538-squared,2014,1,32-35,30,3.817066148761957,3.1006256995198385,-1.8156907774593156,3.3575677185536588
SPS,2014,1,36+,6,3.4449111214934685,2.758872551895807,1.2822229884096006,3.197392194114344
carmelo-linear,2014,1,36+,6,3.0955875660488177,2.7682476328689916,-0.42470761848168076,3.0663146964849615
carmelo-squared,2014,1,36+,6,3.1068925755032626,2.7743794021413506,-0.38728654039407484,3.0826596651831166
538-linear,2014,1,36+,6,3.3181930116951985,2.8792403169451313,-1.0146599377961991,3.1592515052610586
538-squared,2014,1,36+,6,3.5722765760093877,3.0383510240081555,-1.0799052735169363,3.405137961336613
SPS,2014,1,<=23,78,5.197451231845524,3.7402106145950347,-1.9378976531799528,4.822660261019035
carmelo-linear,2014,1,<=23,78,5.157747540879326,3.716186478464997,-1.4044063640247628,4.962862325325323
carmelo-squared,2014,1,<=23,78,5.161653238872556,3.720037199827094,-1.4073352732749822,4.966092184702129
538-linear,2014,1,<=23,78,5.1660510610651125,3.714561983481016,-1.360721125846079,4.983625345389454
538-squared,2014,1,<=23,78,5.161214442924681,3.7100271138671213,-1.345401140901006,4.982773353857929
SPS,2014,2,24-27,88,4.998712925492833,4.035816838271684,-0.008278719504012478,4.998706070003766
carmelo-linear,2014,2,24-27,88,5.028234410444029,3.9647720750108366,-0.7967135068510771,4.964714379939139
carmelo-squared,2014,2,24-27,88,5.026408607409912,3.9663669358519873,-0.7956619743993998,4.963033901872855
538-linear,2014,2,24-27,88,5.030507425452632,3.9317364423383414,-0.899699190148425,4.949398582128978
538-squared,2014,2,24-27,88,5.014354527488682,3.898403833642419,-0.8889122924679153,4.93493528464616
SPS,2014,2,28-31,54,4.332141255933232,3.5483523899065137,1.2930668916285584,4.134661518810557
carmelo-linear,2014,2,28-31,54,4.2960030684855175,3.5028781798862334,-1.1137191428058233,4.149129069501797
carmelo-squared,2014,2,28-31,54,4.301991251939137,3.508968843510383,-1.121596223100627,4.1532096797642275
538-linear,2014,2,28-31,54,4.209908380238427,3.292568241969556,-1.3094286908305615,4.001090485559093
538-squared,2014,2,28-31,54,4.167974314520485,3.220912687363063,-1.2803924217720224,3.9664348138815138
SPS,2014,2,32-35,23,3.688275155529109,2.902323931234425,0.8951266486764429,3.5780052970506566
carmelo-linear,2014,2,32-35,23,3.938119736229772,2.937153074365714,-1.4923367735342905,3.6444091443250044
carmelo-squared,2014,2,32-35,23,3.932565569914971,2.9237822376979237,-1.5231218372227546,3.625627094814887
538-linear,2014,2,32-35,23,3.908117569457353,2.93230935684364,-1.7282882657303393,3.505196514782026
538-squared,2014,2,32-35,23,3.9154022674223556,2.9552458518329576,-1.74489152449597,3.5051003528398805
SPS,2014,2,36+,7,3.878134063893021,2.708678499562155,2.5875012401700053,2.8887300236688933
carmelo-linear,2014,2,36+,7,3.496390662727462,3.0283550340327188,1.0259211783136981,3.342489102793787
carmelo-squared,2014,2,36+,7,3.4947710413344772,3.017202203088901,1.05836334344001,3.330659343825566
538-linear,2014,2,36+,7,2.9697047696256282,2.4595352680427376,0.36004819824514683,2.947797773538346
538-squared,2014,2,36+,7,3.0794605844861636,2.481099519854774,0.40832589159535526,3.052269230860332
SPS,2014,2,<=23,82,6.771607829055147,5.138547934115671,-1.6822394210159213,6.5593248982575165
carmelo-linear,2014,2,<=23,82,6.825442528194321,5.267804027751211,-1.2248155110467276,6.714647620656129
carmelo-squared,2014,2,<=23,82,6.8282216469112695,5.271331881157025,-1.2308274245116368,6.7163736279645505
538-linear,2014,2,<=23,82,6.806696458986723,5.195391589374012,-1.320254169670432,6.677428068669122
538-squared,2014,2,<=23,82,6.798777165837985,5.1747333717107,-1.3472118502073274,6.663962123345311
SPS,2014,3,24-27,77,6.123330228540582,4.787118257540802,-0.30850030522536254,6.115553993665227
carmelo-linear,2014,3,24-27,77,6.329826669178399,5.03993156411754,-1.8666417936807365,6.048334818437755
carmelo-squared,2014,3,24-27,77,6.3263390559237065,5.037811475039651,-1.8632160944306466,6.045741611742951
538-linear,2014,3,24-27,77,6.3263074883683785,4.997527211881899,-1.9790399150338835,6.008790847757017
538-squared,2014,3,24-27,77,6.304454979720666,4.960286571177575,-1.9726168451752484,5.9878990784293915
SPS,2014,3,28-31,43,5.6829893738057535,4.526880545305577,2.4087280733413348,5.147270858570243
carmelo-linear,2014,3,28-31,43,5.2460200895443085,4.218459222491414,-0.5125142853149732,5.2209248114917886
carmelo-squared,2014,3,28-31,43,5.2439862396446175,4.219605984234888,-0.5126884236095456,5.218864077735581
538-linear,2014,3,28-31,43,4.959758841677212,4.139609747152532,-0.8829835855357842,4.880527405441922
538-squared,2014,3,28-31,43,4.884669765971729,4.068079097071607,-0.8502529876557076,4.810100682894366
SPS,2014,3,32-35,14,3.7025730406565964,3.06893802991388,0.9970933180525335,3.5657891183428143
carmelo-linear,2014,3,32-35,14,3.851273997756238,3.2741863135374905,-1.310298877724474,3.621522919550186
carmelo-squared,2014,3,32-35,14,3.872110556153515,3.3023662050480325,-1.3376208668261078,3.633732320315691
538-linear,2014,3,32-35,14,3.824694009670501,3.196357727244016,-1.5306722697779789,3.5050430339928993
538-squared,2014,3,32-35,14,3.7923788449884563,3.170476136140987,-1.5104631590034536,3.4785971812225234
SPS,2014,3,<=23,74,7.744430424833146,5.6340967817688306,-1.9173125581608361,7.503340266801183
carmelo-linear,2014,3,<=23,74,7.81706433829082,5.802929097270771,-1.519446320113807,7.667970901696921
carmelo-squared,2014,3,<=23,74,7.816021150473355,5.804603774698439,-1.5233059538296703,7.666141506369024
538-linear,2014,3,<=23,74,7.746301985004616,5.705213345639893,-1.7163258807202593,7.553768590184392
538-squared,2014,3,<=23,74,7.741898806571434,5.684923539660702,-1.7448172404027462,7.542719001048994
SPS,2014,4,24-27,64,5.856246817586307,4.455725442960034,0.09155378768598121,5.855531119586856
carmelo-linear,2014,4,24-27,64,6.320997182213978,4.924287481380526,-2.1840517176422627,5.9316880794779605
