player_id,player,age,pos,draft_pick,ts_pct,ft_pct,usg_pct,x3_freq,ft_freq,ast_pct,tov_pct,trb_pct,blk_pct,stl_pct,draft_pct,ts_pct_rank,ft_pct_rank,usg_pct_rank,x3_freq_rank,ft_freq_rank,ast_pct_rank,tov_pct_rank,trb_pct_rank,blk_pct_rank,stl_pct_rank,actual_2018,actual_2019,actual_2020,actual_2021,actual_2022,actual_2023,actual_2024,actual_2025,ci_hi_y1,ci_hi_y2,ci_hi_y3,ci_hi_y4,ci_hi_y5,ci_lo_y1,ci_lo_y2,ci_lo_y3,ci_lo_y4,ci_lo_y5,proj_y1,proj_y2,proj_y3,proj_y4,proj_y5,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,x2p,x2pa,trb,mpg,season
wallake01,Keaton Wallace,25,POINT GUARD,,,,,0.5061728395061729,0.06790123456790123,,,,,,,50,50,50,63.0,7.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,31,5,501,65,162,27,82,11,11,7,43,81,28,9,33,39,168,ATLANTA HAWKS,38,80,50,16.161290322580644,2025
tysonja01,Jaylon Tyson,22,SHOOTING GUARD,20.0,,,,0.38926174496644295,0.1610738255033557,,,,,,50.0,50,50,50,38.0,31.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,47,3,453,64,149,20,58,19,24,37,59,44,13,3,26,50,167,CLEVELAND CAVALIERS,44,91,96,9.638297872340424,2025
willigr01,Grant Williams,26,POWER FORWARD,22.0,,,,0.6016260162601627,0.3008130081300813,,,,,,47.0,50,50,50,80.0,75.0,50,50,50,50,50,,,668.5,696.5,1220.5,1394.25,,,,,,,,,,,,,,,,,,16,7,479,54,123,27,74,31,37,18,64,37,18,13,28,46,166,CHARLOTTE HORNETS,27,49,82,29.9375,2025
clarkja02,Jaylen Clark,23,SHOOTING GUARD,53.0,,,,0.425,0.30833333333333335,,,,,,5.0,50,50,50,43.0,76.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,40,4,522,56,120,22,51,29,37,26,27,26,36,2,8,61,163,MINNESOTA TIMBERWOLVES,34,69,53,13.05,2025
jacksqu01,Quenton Jackson,26,POINT GUARD,,,,,0.32786885245901637,0.32786885245901637,,,,,,,50,50,50,29.0,80.0,50,50,50,50,50,,,,,,96.5,12.0,,8.267856743353516,8.599355224925379,8.693406746568316,8.662228692884668,8.514790991362494,5.511904495569011,5.732903483283587,5.795604497712211,5.774819128589779,5.676527327574997,6.889880619461263,7.166129354104483,7.244505622140263,7.218523910737223,7.095659159468745,28,7,381,58,122,15,40,31,40,14,30,53,21,5,16,43,162,INDIANA PACERS,43,82,44,13.607142857142858,2025
pottemi01,Micah Potter,26,CENTER,,,,,0.725925925925926,0.14814814814814814,,,,,,,50,50,50,92.0,27.0,50,50,50,50,50,,,,,26.75,51.0,133.25,,10.805422878941442,11.29880644546346,11.481384311712029,11.494620754978197,11.347309179014925,7.203615252627628,7.532537630308974,7.65425620780802,7.663080503318799,7.56487278600995,9.004519065784535,9.415672037886218,9.567820259760024,9.578850629148498,9.456090982512437,38,10,705,57,135,31,98,17,20,43,121,31,14,14,31,50,162,UTAH JAZZ,26,37,164,18.55263157894737,2025
theisda01,Daniel Theis,32,CENTER,,,,,0.2868217054263566,0.2868217054263566,,,,,,,50,50,50,21.0,70.0,50,50,50,50,50,885.5,866.75,1515.0,,,104.5,,,,,,,,,,,,,,,,,,38,9,621,61,129,9,37,31,37,44,120,60,18,20,25,70,162,NEW ORLEANS PELICANS,52,92,164,16.342105263157894,2025
goodwjo01,Jordan Goodwin,26,POINT GUARD,,,,,0.4722222222222222,0.0763888888888889,,,,,,,50,50,50,53.0,8.0,50,50,50,50,50,,,,,1.25,1054.75,,,,,,,,,,,,,,,,,,29,5,543,63,144,26,68,9,11,38,74,42,30,11,26,43,161,LOS ANGELES LAKERS,37,76,112,18.724137931034484,2025
bassech01,Charles Bassey,24,CENTER,53.0,,,,0.0,0.28205128205128205,,,,,,5.0,50,50,50,4.0,69.0,50,50,50,50,50,,,,,197.0,589.75,232.0,,16.704804967856198,17.57409024816831,18.09745415796812,18.23283161119876,17.963252090148465,11.136536645237467,11.71606016544554,12.064969438645415,12.155221074132507,11.97550139343231,13.920670806546832,14.645075206806926,15.081211798306768,15.194026342665634,14.969376741790388,36,1,376,68,117,0,0,21,33,56,96,17,14,30,23,50,157,SAN ANTONIO SPURS,68,117,152,10.444444444444445,2025
ruperra01,Rayan Rupert,20,SHOOTING GUARD,43.0,,,,0.4154929577464789,0.2112676056338028,,,,,,16.0,50,50,50,41.0,48.0,50,50,50,50,50,,,,,,,377.5,,15.68851025354072,19.095747891273387,22.482078734146626,25.70063623967832,28.589496963997494,10.459006835693813,12.730498594182258,14.988052489431084,17.133757493118882,19.059664642664995,13.073758544617267,15.913123242727822,18.735065611788855,21.4171968663986,23.824580803331244,52,0,460,58,142,16,59,23,30,26,44,25,16,4,30,37,155,PORTLAND TRAIL BLAZERS,42,83,70,8.846153846153847,2025
